epoch,accuracy,loss,val_accuracy,val_loss
0,0.10567999631166458,2.3011105060577393,0.12269999831914902,2.298729181289673
1,0.15063999593257904,2.296743154525757,0.18289999663829803,2.293163776397705
2,0.17725999653339386,2.2894885540008545,0.18219999969005585,2.282599687576294
3,0.17202000319957733,2.275819778442383,0.1656000018119812,2.263871431350708
4,0.15693999826908112,2.2543156147003174,0.1460999995470047,2.237149238586426
5,0.14621999859809875,2.2272732257843018,0.1517000049352646,2.2088520526885986
6,0.14876000583171844,2.2007884979248047,0.15289999544620514,2.183044672012329
7,0.1494400054216385,2.175879716873169,0.15549999475479126,2.1592936515808105
8,0.15821999311447144,2.1527583599090576,0.16369999945163727,2.136262893676758
9,0.16901999711990356,2.1290276050567627,0.1746000051498413,2.1124823093414307
10,0.19064000248908997,2.1062605381011963,0.2110999971628189,2.0899689197540283
11,0.226500004529953,2.082897424697876,0.24490000307559967,2.060556650161743
12,0.24036000669002533,2.0576136112213135,0.2687999904155731,2.0421602725982666
13,0.2653999924659729,2.0330188274383545,0.26969999074935913,2.0160510540008545
14,0.27375999093055725,2.0073511600494385,0.2784000039100647,1.9932304620742798
15,0.2820200026035309,1.9850925207138062,0.28119999170303345,1.970905065536499
16,0.28567999601364136,1.9635025262832642,0.2896000146865845,1.9492441415786743
17,0.2933399975299835,1.9423110485076904,0.30140000581741333,1.9282363653182983
18,0.3040800094604492,1.922141671180725,0.3086000084877014,1.9099191427230835
